Dataset,Split,Model,n,Component,Target,rho,p
naidv1,train,Llama-3.1,1999,Quality & Reliability,SMP,0.03957216417291929,0.07691646259339259
naidv1,train,Llama-3.1,1999,Quality & Reliability,ARQ,-0.022430412948615617,0.316166583066221
naidv1,train,Llama-3.1,1999,Quality & Reliability,OA,-0.020210352635168426,0.3664539862119949
naidv1,train,Llama-3.1,1999,Quality & Reliability,is_practical,0.10057663698501647,6.624344683356521e-06
naidv1,train,Llama-3.1,1999,Quality & Reliability,new_task,-0.04548259997278886,0.042020666970835244
naidv1,train,Llama-3.1,1999,Quality & Reliability,new_dataset,-0.021610903549380427,0.3341764259482707
naidv1,train,Llama-3.1,1999,Quality & Reliability,SOTA,0.03541668539731826,0.11342318559789998
naidv1,train,Llama-3.1,1999,Quality & Reliability,is_broad,0.044544641735546425,0.04644335007854885
naidv1,train,Llama-3.1,1999,Accessibility & Understandability,cites,0.12991001635137592,5.563196827764758e-09
naidv1,train,Llama-3.1,1999,Accessibility & Understandability,TNCSI,0.09834978090512513,1.0570150925821515e-05
naidv1,train,Llama-3.1,1999,Accessibility & Understandability,TNCSI_SP,0.12818751939424966,8.848432209806054e-09
naidv1,train,Llama-3.1,1999,Accessibility & Understandability,Ref_num,0.06779447532239859,0.002423791725379713
naidv1,train,Llama-3.1,1999,Accessibility & Understandability,RQM,0.022717246266345404,0.3100163078145178
naidv1,train,Llama-3.1,1999,Accessibility & Understandability,SMP,-0.029410827771300274,0.18870316600243997
naidv1,train,Llama-3.1,1999,Accessibility & Understandability,ARQ,0.01628693872838929,0.46674538110011965
naidv1,train,Llama-3.1,1999,Accessibility & Understandability,OA,0.09852196586900863,1.0198622315666377e-05
naidv1,train,Llama-3.1,1999,Accessibility & Understandability,is_practical,0.059904107799862515,0.007383046221400017
naidv1,train,Llama-3.1,1999,Accessibility & Understandability,new_task,0.0559824276225759,0.012301269504266068
naidv1,train,Llama-3.1,1999,Accessibility & Understandability,new_dataset,0.08494316533787834,0.00014334621960183423
naidv1,train,Llama-3.1,1999,Accessibility & Understandability,SOTA,0.11881585349103559,9.938898492725423e-08
naidv1,train,Llama-3.1,1999,Accessibility & Understandability,is_broad,0.019332235905413876,0.38764953474396047
naidv1,train,Llama-3.1,1999,Novelty & Engagement,cites,0.1945683824960854,1.6676243174901292e-18
naidv1,train,Llama-3.1,1999,Novelty & Engagement,TNCSI,0.17574840227594657,2.4823950871116836e-15
naidv1,train,Llama-3.1,1999,Novelty & Engagement,TNCSI_SP,0.1756668081562278,2.5579770099340756e-15
naidv1,train,Llama-3.1,1999,Novelty & Engagement,Ref_num,0.1664601295567836,6.88103947361807e-14
naidv1,train,Llama-3.1,1999,Novelty & Engagement,RQM,0.11195028946849878,5.222101957795754e-07
